YM,Year,Month,Flow,Banff_precip,Ghost RS_precip,Lake Louise_precip,Elbow Ranger Station_precip,Calgary Intl A_precip,Three Isle Lake_avetemp_avg_temp,Cuthead Lake_avetemp_avg_temp,Banff_avetemp_avg_temp,Ghost RS_avetemp_avg_temp,Lake Louise_avetemp_avg_temp,Skoki Mountain_avetemp_avg_temp,Sunshine Village_avetemp_avg_temp,Little Elbow Summit_avetemp_avg_temp,Forget-me-not Mountain_avetemp_avg_temp,Elbow Ranger Station_avetemp_avg_temp,Scotch Camp_avetemp_avg_temp,Dogrib Creek_avetemp_avg_temp,Calgary Intl A_avetemp_avg_temp,Banff_max_temp,Ghost RS_max_temp,Lake Louise_max_temp,Elbow Ranger Station_max_temp,Calgary Intl A_max_temp,Three Isle Lake_min_temp,Cuthead Lake_min_temp,Banff_min_temp,Ghost RS_min_temp,Lake Louise_min_temp,Elbow Ranger Station_min_temp,Calgary Intl A_min_temp,nao.long,pdo.timeseries.cobe2-sst,pdo.timeseries.ersstv5,pdo.timeseries.hdsst1-1,pdo.timeseries.sstens,pna,SOI.dp3,amo,nino4.long.anom,nino3.long.anom,nino34.long.anom,AO,SD_BA801_802_808,SD_BL804_805,SD_BA810,SW_BA801_802_808,SW_BL804_805,SW_BA810
Nov-71,1971,11,0,20.6,1.5,29,13.7,1.5,-6.918952,-6.692686,-3.026428571,-1.1,-6.7,-5.927597143,-6.64433,-5.714096571,-2.011508,-3.4,-3.32485,-4.411591714,-2.1,10.02,4.9,5,13.9,15.6,-23.517274,-19.538504,-20.9,-7,-27.2,-27.2,-17.2,-1.46,-1.197,-0.985,-1.354,-1.245,-0.26,0.555,-0.12,-0.58,-1.09,-0.85,0.419,0,0,0,0,0,0
Dec-71,1971,12,0,66.8,39.4,64,29.5,27.4,-10.51218168,-12.17104258,-10.97096774,-11.7,-18.1,-10.54993045,-11.75265432,-12.18881148,-7.864490774,-13.5,-9.231612903,-9.805987613,-13.9,6.4,-5.2,-2.8,4.4,6.7,-32.447068,-32.082338,-35.52,-18.2,-36.7,-35,-33.3,0.76,-1.699,-1.519,-1.769,-1.766,-1.76,0.145,-0.25,-0.47,-1.15,-0.89,0.824,0,0,0,0,0,0
Jan-72,1972,1,0,66.5,36.1,84,48,17.3,-10.24379458,-12.17104258,-10.97096774,-15.7,-18.8,-10.19699845,-11.75265432,-11.98235987,-7.901910129,-16.8,-8.807032258,-9.805987613,-15.7,6.4,-10.2,-1.7,10,8.9,-33.067068,-32.082338,-35.52,-21.2,-45,-41.7,-37.8,-0.52,-1.809,-1.674,-1.977,-1.944,-2.46,0.329,-0.25,-0.41,-0.57,-0.58,0.166,0,0,0,0,0,0
Feb-72,1972,2,0,107.7,61.2,91,57.2,21.6,-7.94877342,-9.863225807,-7.713548386,-10.4,-12.8,-8.290901742,-9.380006968,-7.762529678,-5.547192129,-13,-6.104467548,-3.675018774,-13.3,9.52,-4.1,7.2,8.3,6.1,-25.720472,-28,-29.92,-16.7,-39.4,-31.1,-28.9,-0.2,-1.716,-1.53,-1.842,-1.801,-2.27,0.673,-0.3,-0.03,-0.32,-0.22,-0.195,105.3333333,0,0,249.6666667,0,0
Mar-72,1972,3,37.2425,34.5,47,46,97.5,11.2,-6.632451613,-5.522839828,-2.973677419,-1.5,-3.6,-6.108091527,-7.346430107,-5.770365591,-1.990257613,-3.3,-2.520203634,-2.02870871,-2,12.82,5.4,8.9,15.6,16.7,-21.78,-20.211322,-21.36,-8.4,-27.2,-32.2,-34.4,0.26,-1.253,-1.114,-1.283,-1.285,-0.1,0.128,-0.39,-0.01,-0.2,-0.25,-0.141,154.3333333,0,201,387.6666667,0,564
Apr-72,1972,4,31.372,21.1,49.3,25,74.7,16.8,-3.318886021,-3.475833075,1.157612903,1.6,-2.3,-3.899768946,-3.301807656,-3.580694731,0.376057075,-0.2,-0.289601484,0.204101591,3.4,16.32,8,15,20.6,22.8,-17.874658,-16.761266,-12.56,-4.9,-20,-21.1,-11.7,0.22,-1.277,-1.235,-1.253,-1.33,-1.95,-0.456,-0.3,0.33,0.32,0.21,1.007,114.6666667,147,190,424,438.5,681
May-72,1972,5,160.1375,16.3,24.1,17,35.3,31,5.974561333,6.339947333,9.726666666,8,6.1,5.512778667,4.749333333,5.059522,10.40169667,6.9,8.972304,5.786626,10.3,26.44,15.1,28.3,28.3,31.1,-6.034834,-4.807626,-4.7,0.8,-11.1,-7.8,-3.3,1.24,-1.652,-1.603,-1.52,-1.687,0.21,-1.522,-0.51,0.47,0.49,0.33,0.14,0,0,183,0,0,658
Jun-72,1972,6,421.875,76.5,163.3,25.3,96.5,140.5,7.44369985,7.204774194,11.17621505,11.6,9.6,7.35642129,7.000236559,5.742417333,9.928837226,10.7,9.620387096,7.993988667,15,26.22,18.2,23.9,26.1,29.4,-3.628438,-4.7,-2.14,4.9,-2.8,-2.8,3.9,1.07,-1.517,-1.409,-1.212,-1.476,-0.15,-1.683,-0.5,0.35,0.93,0.66,-0.049,0,0,0,0,0,0
Jul-72,1972,7,248.94,46.2,105.9,68.1,83.3,71.4,9.388095914,9.039870968,13.55726882,11.5,10.9,7.437048989,9.362451613,9.245376344,11.49877419,10.7,11.40468817,9.450430108,14,29.54,17.9,25,26.1,30.6,-0.975488,-1.62,0.06,5,-3.3,-2.8,2.2,0.41,-0.795,-0.972,-0.674,-0.869,-1.13,-1.844,-0.41,0.3,1.33,0.83,-0.553,0,0,0,0,0,0
Aug-72,1972,8,159.05,35.1,32.3,63,43.9,56.4,6.179175765,7.891261139,12.76922581,14.9,13,10.88530406,6.015333333,8.335297162,11.83134241,13.4,10.5023871,9.034645162,16.9,29.08,22.5,28.3,29.4,30.6,-7.097978,-2.575956,-0.98,7.2,-3.9,0.6,2.8,0.11,0.268,0.258,0.278,0.29,-0.04,-1.115,-0.49,0.19,2.02,1.3,-0.082,0,0,0,0,0,0
Sep-72,1972,9,94.3625,78.2,75.2,54.3,83.8,56.1,4.289153333,4.485192667,8.392666666,5,3.5,3.100755333,4.457557333,4.941482,7.210232,4.3,6.025922667,8.257230667,6.7,26.02,11.3,20,21.1,22.2,-6.273006,-6.807432,-4.2,-1.3,-12.8,-15.6,-6.7,-4.11,0.2,0.243,0.052,0.189,0.13,-1.477,-0.38,0.23,1.64,1.19,-0.92,0,0,0,0,0,0
Oct-72,1972,10,0,32,41.984,32,56.58,18.5,-3.346283333,-3.667763333,1.332,1.295322,-0.7,-3.616650667,-3.246517333,-4.094002667,0.827909333,1.441333333,-0.065666,0.307069333,2.8,17.64,11.864538,19.4,22.2,23.3,-19.774082,-19.288572,-15.74,-9.123166,-20,-20.6,-15,-1.74,0.126,0.125,-0.014,0.1,-1.49,-1.134,-0.28,0.71,1.92,1.77,0.392,0,0,0,0,0,0
Nov-72,1972,11,0,5.1,2.486,44,3.714,5.1,-7.079924,-5.771948,-4.34,-2.62,-7.2,-6.955828,-8.32933,-5.703256,-1.583426,-2.729408,-2.820848,-3.750014,-1.5,7.7,4.96,4.4,12.621472,12.2,-23.041776,-17.834068,-20.16,-10.18,-24.4,-20.279476,-13.9,0.64,0.043,0.133,-0.109,0.041,0.53,-0.384,-0.24,0.61,2.15,1.87,-0.38,0,0,0,0,0,0
Dec-72,1972,12,0,54.6,30.600002,45,38.34,35.6,-10.52331024,-12.54981677,-10.35184946,-10.62,-16.8,-10.62970133,-11.79724731,-11.85241806,-9.034233979,-11.54322581,-9.330258322,-10.15731856,-12.6,8.22,-3.74,1.7,10.02,8.9,-35.836194,-31.542338,-38.14,-17.44,-42.2,-37.74,-36.7,2.11,-0.206,-0.287,-0.307,-0.271,-0.86,-1.47,-0.26,0.89,2.44,2.19,1.238,0,0,0,0,0,0
Jan-73,1973,1,0,20.1,18.176,95,19.184,3.3,-10.277114,-11.837184,-9.46,-8.84,-14.2,-11.073866,-11.46,-10.13809,-6.983298,-8.818828,-9.634172,-8.021684,-6.9,5.98,-1.08,1.7,12.757154,11.7,-35.132154,-34.156256,-37.2,-16.56,-40.6,-35.800722,-31.7,1.37,-0.287,-0.067,-0.459,-0.274,-0.88,-0.429,-0.28,0.85,1.62,1.6,1.232,0,0,0,0,0,0
Feb-73,1973,2,0,13.5,22.424002,25,22.54,18.5,-10.09721455,-10.19732857,-6.779175509,-6.090882,-9.8,-10.17252714,-10.32338457,-10.23551799,-6.653948361,-6.848095238,-7.154365529,-8.049120112,-7.2,6.12,5.472852,10,12.58,11.7,-31.23915,-27.44,-29.18,-21.406642,-35,-34.62,-28.3,1.22,-0.492,-0.267,-0.769,-0.525,-0.14,-1.466,-0.21,0.61,0.81,1.08,0.786,72.33333333,0,0,168.3333333,0,0
Mar-73,1973,3,28.5675,21.6,17.480002,36,21.336,9.7,-6.199820968,-5.018582581,-1.870322581,-0.71974,-4.3,-5.925825355,-6.19483871,-5.3586387,-2.371382129,-0.953464258,-1.977398,-4.222628581,0.3,10.9,10.51019,8.9,15.992242,13.9,-23.720822,-19.426272,-19.86,-12.66934,-20.6,-21.207438,-13.9,1.04,-0.632,-0.521,-0.714,-0.66,0.53,-0.064,-0.16,0.44,0.31,0.58,0.537,78.66666667,0,99,193,0,262
Apr-73,1973,4,34.994,47,29.1408,46.62,44.44,25.7,-1.246046,-2.910934,1.542666667,0.8,-0.7,-2.847556,-1.271539333,-2.466168,0.955977333,0.6,1.018204667,-1.062701333,2.5,15.64,5.9,11.1,15,17.2,-16.514672,-18.048882,-15.94,-4.4,-20,-18.3,-10.6,-2.61,-0.794,-0.821,-0.836,-0.873,0.11,-0.372,-0.14,-0.04,-0.33,-0.07,-1.126,79,77,114,216.6666667,167.5,358
May-73,1973,5,162.8825,92.5,75.9,9.8,98,28.2,4.000920667,1.487014,5.498666667,8.3,5.7,0.884626,0.940194,0.488474,4.492112,6.7,4.454931333,1.049220667,10.9,21.94,15.5,26.1,25.6,27.2,-7.637572,-12.716034,-8.58,1.1,-11.1,-11.1,-5.6,0.37,-0.971,-1.017,-0.897,-1.018,0.67,0.252,-0.13,-0.08,-0.89,-0.56,0.073,0,0,109,0,0,351
Jun-73,1973,6,287.525,51.1,94.5,66.4,74.2,86.1,6.642370021,6.35088172,10.89535484,10.7,9.2,7.055956989,6.575096774,6.555311828,9.409376345,9.8,9.052236559,7.177548388,13.5,29.16,17.4,27.8,28.9,30.6,-3.286098,-3.58,-1.42,4,-3.3,-5.6,0.6,0.83,-0.989,-0.988,-0.833,-1.023,1.01,1.222,-0.07,-0.56,-0.96,-0.86,0.531,0,0,0,0,0,0
Jul-73,1973,7,204,30.2,39.9,78.3,25.9,38.1,4.143515333,8.316912,10.06,13.8,11.9,9.583046,4.714666666,7.245328,10.457708,12.5,10.534232,7.403566,16.6,27.82,21.8,28.9,30,32.8,-10.389666,-2.69635,-3,5.8,-2.2,-2.8,3.3,-1.85,-0.585,-0.708,-0.566,-0.683,-0.26,0.626,-0.04,-0.75,-1.25,-1.14,0.27,0,0,0,0,0,0
Aug-73,1973,8,119.105,64,87.6,37.6,117.9,83.6,4.337011677,4.222580645,8.588387097,13,11.5,6.537054581,3.696774193,5.803228194,8.709990323,11.6,8.449800646,7.062637871,15.4,24.82,20.4,31.7,28.9,31.7,-8.228438,-6.98,-4.64,5.6,-6.1,-3.3,0.6,2.32,-0.598,-0.738,-0.491,-0.684,-0.95,1.179,-0.14,-0.95,-1.22,-1.21,0.313,0,0,0,0,0,0
Sep-73,1973,9,83.3225,35.8,21.8,28.7,50,27.7,2.900337054,3.303419355,7.04916129,8.9,7.6,5.62711886,2.82088172,3.202580645,6.181612904,7.8,6.000602151,3.853548387,10.8,24.18,16.4,26.7,27.8,27.8,-10.617978,-9.64,-5.9,1.3,-6.7,-7.2,-2.2,-0.79,-0.423,-0.37,-0.238,-0.399,-0.27,1.271,-0.09,-1.21,-1.18,-1.4,0.114,0,0,0,0,0,0
Oct-73,1973,10,0,33.8,9.4,16.1,16,7.1,-4.388264,-4.52,-0.18,3.3,0.7,-5.016882,-4.866712,-3.24,0.010262,2.1,0.29985,-3.26,5,14.86,9.9,15,18.3,21.1,-18.61111,-17.12,-16.38,-3.3,-14.4,-10.6,-8.9,-1.03,-0.664,-0.686,-0.63,-0.716,-0.74,0.85,-0.13,-1.3,-1.35,-1.58,0.337,0,0,0,0,0,0
Nov-73,1973,11,0,48,25.7,46.5,32.5,23.4,-9.797751678,-10.71577258,-9.339354838,-9.9,-11.2,-11.046084,-11.62387097,-10.39296948,-7.199948774,-7.887741935,-9.007095806,-9.361471484,-12.2,5.92,-3.8,2.8,13.06,6.7,-30.941776,-30.311542,-31.2,-15.9,-29.4,-34,-29.4,-0.26,-1.069,-0.929,-1.017,-1.08,-1.66,2.847,-0.15,-1.58,-1.59,-2.07,0.002,0,0,0,0,0,0
Dec-73,1973,12,0,14,11.4,38,21.834,8.6,-9.28604587,-9.794535872,-7.454193548,-4.7,-10.7,-10.59503181,-9.964120064,-8.722601742,-5.632929935,-6.53415529,-7.210714452,-7.086640774,-7.3,5.22,1.4,1.7,12.585216,8.9,-25.396964,-23.488748,-28.38,-10.7,-33.3,-27.665992,-25.6,-1.65,-0.817,-0.69,-0.91,-0.86,0.23,1.762,-0.16,-1.86,-1.6,-2.18,-0.181,0,0,0,0,0,0
Jan-74,1974,1,0,127.3,67.8,67,27.26,24.1,-10.69795184,-11.49962015,-9.716774192,-12.3,-15,-7.32683,-11.02942852,-9.882584139,-6.536201346,-10.2683871,-8.553064203,-9.182675254,-13.2,5.74,-5.3,3.3,10.94,7.2,-29.236372,-29.10191,-31.26,-19.3,-41.7,-34.56,-32.2,3.75,-0.643,-0.537,-0.69,-0.668,-1.54,2.163,-0.14,-1.72,-1.58,-2.02,0.232,0,0,0,0,0,0
Feb-74,1974,2,0,17.5,13.5,26,16.018,3.3,-9.392497483,-7.744065871,-7.577419355,-3.4,-8,-10.70599955,-8.860249097,-7.943275161,-5.379381548,-4.649513548,-5.943271548,-5.967931097,-4.3,5.48,3.6,2.8,14.772636,9.4,-25.896964,-23.055074,-27.58,-10.3,-23.9,-28.073172,-28.9,0.68,-0.971,-0.98,-1.147,-1.097,-1.5,1.487,-0.2,-1.15,-1.19,-1.5,-0.489,102.6666667,0,0,221.6666667,0,0
Mar-74,1974,3,25.3825,32.5,46.5,14,31.59,17,-7.696202424,-8.347304148,-6.576843318,-5.1,-7.5,-7.800872839,-8.035437788,-7.873950654,-5.5672547,-5.222336258,-6.188639364,-7.138153512,-5.7,8.12,2.5,10,13.918576,12.2,-25.220526,-22.86,-28.04,-12.6,-30,-26.398964,-23.9,-0.81,-0.847,-0.834,-1.017,-0.963,-1.1,2.105,-0.36,-1.15,-0.94,-1.44,-0.746,100.3333333,0,145,283.6666667,0,434
Apr-74,1974,4,47.632,67.3,55.6,9.9,128.8,50.5,0.561536667,2.568,5.438666667,4.2,2.1,3.004514,0.552,3.479398,5.806,2.9,5.617333333,3.514666667,5.3,21.58,10.8,18.3,21.7,23.9,-14.99519,-12.22,-9.5,-2.4,-11.1,-10.6,-5.6,-2.3,-0.358,-0.374,-0.471,-0.421,-0.73,1.273,-0.55,-0.94,-0.57,-1,0.309,113.6666667,100.5,163,283.6666667,236,503
May-74,1974,5,116.42,52.3,101.6,58.9,67.3,71.1,2.870455226,3.993655914,8.817247312,5.1,4.1,6.601758667,3.550688172,3.925911183,6.439231849,3.6,6.224582945,4.68488172,7.1,25.42,10.6,16.7,18.3,22.2,-10.559426,-7.94,-5.02,-0.4,-6.1,-13.3,-2.8,-0.01,-0.482,-0.432,-0.38,-0.463,-0.4,1.238,-0.59,-0.76,-0.37,-0.79,-0.507,0,0,149,0,0,533
Jun-74,1974,6,423.975,43.7,21.3,34.9,18.5,18.8,6.679358667,6.128839333,9.593333332,12.6,10.6,6.746286,6.479976667,6.87546,9.358902,11.1,8.283481333,7.059416667,15.4,25.58,20.8,28.9,27.8,30.6,-3.492254,-5.059714,-3.68,4.3,-4.4,-3.9,2.2,-0.14,-0.452,-0.326,-0.376,-0.417,-1.36,0.141,-0.56,-0.81,-0.22,-0.7,-0.048,0,0,0,0,0,0
Jul-74,1974,7,253.6,11.2,40.9,10,42.9,38.4,7.208576129,7.567713936,10.36580645,13.3,11.5,8.852078259,5.394193548,6.556919742,12.82544994,12.2,10.15838716,7.799804904,16.2,26.18,21.4,28.9,27.8,30,-5.831688,-3.85835,-5.46,5.1,-3.3,-2.2,2.8,2.07,0.134,0.188,0.16,0.169,-0.09,1.229,-0.59,-0.9,-0.22,-0.65,0.39,0,0,0,0,0,0
Aug-74,1974,8,152.5,65.5,99.6,98.8,108.5,64,5.120394538,4.101784946,8.288021505,11.1,11,5.463182796,4.056322581,4.060494774,6.647548387,10.5,6.457677419,4.286215054,13.6,23.82,17.8,28.9,30.6,32.2,-7.84458,-11.1,-6.28,4.3,-2.8,-2.8,1.1,0.89,0.286,0.205,0.429,0.313,0.9,0.555,-0.56,-0.73,0.04,-0.32,-0.533,0,0,0,0,0,0
Sep-74,1974,9,93.625,26.9,44.7,68.2,35.8,37.1,2.666182,2.35148,5.98,8,7.4,4.5,0.1,1.64899,6.98,6.8,6.574232,3.508192,10.1,23,15.7,22.8,25.6,27.8,-11.549666,-9.982788,-7.94,0.2,-6.1,-6.1,-6.1,0.11,0.937,0.886,0.828,0.951,0.35,1.163,-0.57,-0.89,-0.23,-0.35,-0.136,0,0,0,0,0,0
Oct-74,1974,10,0,20.1,20.6,32.5,31,11.2,0.465746516,0.103906452,4.067056452,6.8,3.7,0.821762581,-0.056653226,1.202432258,3.118666968,6.1,2.91323471,1.497116064,8,19.32,14.3,20,25,23.9,-11.967912,-11.901112,-6.68,-0.7,-9.4,-11.1,-8.3,-1.44,0.44,0.433,0.366,0.44,0.93,0.723,-0.51,-0.96,-0.63,-0.75,-1.024,0,0,0,0,0,0
Nov-74,1974,11,0,29,18.5,69.5,18.8,6.6,-6.004252,-5.36953,-2.76,-1,-7.3,-7.616154,-6.52,-5.190996,-1.550968,-2.7,-2.715576,-4.58,-1.1,13.32,5.3,9.4,17.8,17.8,-20.083296,-18.886326,-21.06,-7.3,-22.8,-18.9,-15.6,1.27,0.534,0.642,0.512,0.593,0.53,-0.423,-0.37,-1.02,-0.75,-0.96,-0.435,0,0,0,0,0,0
Dec-74,1974,12,0,24.4,8.4,99,5.3,4.1,-7.800116,-7.850292,-5.5,-2.7,-9.9,-5.831716,-8.38,-7.688664,-3.043166,-3.4,-2.673382,-4.838714,-2.5,7.06,2.3,0.6,12.2,12.2,-24.26364,-20.226308,-22.44,-7.6,-31.1,-20.6,-19.4,3.06,0.159,0.239,0.178,0.195,0.38,-0.144,-0.28,-0.9,-0.74,-0.86,0.556,0,0,0,0,0,0
Jan-75,1975,1,0,15.5,8.1,3,14.08,7.1,-10.277114,-10.4878,-8.74,-8.4,-15,-10.039354,-10.08,-9.223594,-5.561384,-8.28,-8.454172,-5.78636,-8.3,6.58,-2.8,4.4,13.68,11.7,-35.132154,-30.668686,-35.68,-14,-42.8,-37.04,-35,2.43,-0.49,-0.411,-0.479,-0.5,-1.2,-0.625,-0.1,-0.7,-0.44,-0.37,1.595,0,0,0,0,0,0
Feb-75,1975,2,0,43.7,18.8,16,26.784,12.4,-12.636646,-12.47649258,-12.35870968,-12.3,-17.7,-12.04991084,-12.43327387,-12.90354342,-9.150116258,-11.69292542,-12.37806355,-10.72962684,-12.4,6.1,-5.9,5,12.054136,12.8,-36.853332,-31.81388,-38.5,-18.6,-40,-37.01238,-33.9,0.4,-0.685,-0.576,-0.807,-0.752,-0.51,0.459,-0.13,-0.35,-0.5,-0.33,0.194,70.33333333,0,0,163.3333333,0,0
Mar-75,1975,3,23.6925,11.9,26.2,7,23.106,22.6,-7.550141161,-4.981429806,-4.228387097,-6.5,-8.3,-8.587741935,-7.682580645,-6.998034452,-4.040926839,-4.278381161,-4.805983032,-5.163267935,-5.8,9.6,-0.2,8.9,12.810818,9.4,-29.376686,-20.50425,-28.28,-12.8,-27.8,-29.966402,-19.4,-1.26,-0.888,-0.706,-0.905,-0.899,-0.81,1.135,-0.18,-0.6,-0.44,-0.59,0.151,88.66666667,0,112,207.3333333,0,282
Apr-75,1975,4,29.602,17.5,31.2,27.4,52.6,15.5,-3.402172,-2.632281333,0.655333333,-1.2,-2.3,-5.060268925,-3.595850667,-3.565918021,-0.117343333,-2.9,-1.168004538,-2.231253333,-0.3,16.92,5.7,12.8,13.3,16.1,-21.172194,-18.547922,-18.42,-8.1,-27.8,-28.9,-22.2,-0.84,-1.27,-1.3,-1.281,-1.38,-0.67,1.484,-0.27,-0.72,-0.27,-0.59,0.409,85.66666667,104.5,117,216.6666667,257.5,312
May-75,1975,5,75.4,17.8,43.2,40.7,73.7,68.1,3.338945872,3.288395033,6.901827956,6.2,4.2,1.853419354,3.90327413,1.86767471,5.121621677,5.4,4.201483871,3.820896388,8.3,25.08,13.1,18.9,23.3,23.3,-11.20094,-9.349154,-7.26,-0.8,-10,-6.7,-4.4,-2.42,-1.56,-1.568,-1.533,-1.661,0.6,0.51,-0.34,-0.88,-0.93,-1,-0.614,0,0,97,0,0,254
Jun-75,1975,6,203.85,34.8,50.3,62.4,88.4,70.9,6.017188258,5.510322581,10.21806452,10,7.5,6.67266129,5.14516129,4.981983226,7.168840452,9.3,8.134838708,5.166057676,12.6,26.92,16.6,22.8,23.9,26.7,-7.30939,-7.04,-3.56,3.4,-6.1,-5.6,1.7,0.18,-1.194,-1.184,-1.019,-1.235,-0.31,1.685,-0.26,-1.02,-1.1,-1.25,-0.323,0,0,0,0,0,0
Jul-75,1975,7,210,74.7,92.2,13.6,60.7,63,6.283709333,6.262477333,10.588,15.5,12.8,6.206191333,6.378666667,5.98454,10.516004,13.9,9.227788666,8.531884,18.2,27.02,22.5,31.1,31.7,33.9,-4.061436,-3.423454,-3.26,8.5,-5,-1.1,5.6,0.63,-0.573,-0.559,-0.427,-0.565,-1.53,2.129,-0.14,-1.4,-0.88,-1.24,0.345,0,0,0,0,0,0
