,Year,Month,Flow,Banff_precip,Lake Louise_precip,Calgary Intl A_precip,Lake Louise_avetemp_avg_temp,Calgary Intl A_avetemp_avg_temp,Lake Louise_max_temp,Calgary Intl A_max_temp,Lake Louise_min_temp,Calgary Intl A_min_temp,nao.long,pdo.timeseries.cobe2-sst,pdo.timeseries.ersstv5,pdo.timeseries.hdsst1-1,pdo.timeseries.sstens,pna,SOI.dp3,amo,nino4.long.anom,nino3.long.anom,nino34.long.anom,AO
1912-11-01,1912.0,11.0,0.0,36.6,26.4,17.3,-2.8566666666,0.1,10.3,14.4,-21.9,-11.7,1.21,0.663,0.113,-0.062,0.265,-0.404,0.125,-0.62,-0.21,0.08,0.16,-0.22479999999999997
1912-12-01,1912.0,12.0,0.0,9.9,47.5,0.0,-9.52,-2.0,3.34,10.6,-27.32,-17.8,3.0,0.565,-0.265,-0.663,-0.076,0.43200000000000005,-1.009,-0.53,-0.5,-0.41,-0.49,0.16659999999999997
1913-01-01,1913.0,1.0,0.0,31.2,51.3,32.8,-11.407857142000001,-13.1,5.94,11.1,-36.06,-33.3,1.83,-0.165,-0.304,-0.857,-0.454,-0.42799999999999994,-0.41,-0.49,-0.49,-0.03,-0.2,-0.5292
1913-02-01,1913.0,2.0,0.0,11.4,8.1,14.2,-9.2793548388,-7.8,6.219999999999999,13.9,-35.54,-27.8,1.19,0.395,0.211,0.423,0.332,0.10599999999999991,-0.627,-0.44,0.17,0.15,0.18,-0.9576
1913-03-01,1913.0,3.0,33.3625,36.8,37.3,12.7,-9.153548388,-5.1,5.880000000000001,13.3,-31.940000000000005,-25.0,2.73,-0.098,-0.087,-0.117,-0.129,-0.06400000000000002,0.008,-0.51,0.12,-0.11,0.16,0.49499999999999994
1913-04-01,1913.0,4.0,47.846,40.9,24.9,5.3,4.2354838710000005,7.8,21.080000000000002,26.7,-10.9,-7.2,1.99,-0.515,-0.506,-1.12,-0.763,0.14600000000000005,-0.794,-0.77,-0.45,-1.16,-0.77,0.32799999999999996
1913-05-01,1913.0,5.0,122.3425,34.5,40.9,57.7,4.7406666666,9.4,22.080000000000002,26.7,-9.24,-7.2,0.38,-0.105,0.201,-1.174,-0.367,0.362,-0.565,-0.8,-0.36,-0.49,-0.28,-0.44960000000000006
1913-06-01,1913.0,6.0,330.35,58.2,101.6,99.3,11.08,14.9,27.160000000000004,28.9,-1.3800000000000001,3.3,1.03,0.667,0.128,-0.092,0.251,0.176,-0.596,-0.96,-0.59,-0.15,-0.16,-0.12320000000000002
1913-07-01,1913.0,7.0,210.34,23.1,49.8,15.5,11.806451612,16.1,28.46,30.6,-1.0000000000000002,3.3,-0.99,1.351,0.743,-0.178,0.697,-0.172,-0.124,-0.88,-0.68,-0.05,-0.15,-0.1952
1913-08-01,1913.0,8.0,192.1,72.4,49.8,131.8,9.714623655399999,16.4,25.560000000000002,32.2,-1.46,3.3,0.65,0.859,1.206,-0.134,0.71,-0.37400000000000005,-0.92,-0.86,-0.65,0.06,-0.09,-0.2466
1913-09-01,1913.0,9.0,132.7375,56.9,54.6,22.1,7.323333333399999,12.8,24.28,28.9,-5.04,-1.1,-2.7,0.719,0.877,-0.744,0.341,0.458,-0.95,-0.77,-0.25,0.11,0.05,-0.24820000000000003
1913-10-01,1913.0,10.0,0.0,31.8,19.3,17.0,2.2600000000000002,4.4,19.2,29.4,-16.3,-11.7,-1.48,0.812,0.617,0.396,0.633,-0.05600000000000001,-1.018,-0.57,-0.43,0.34,0.03,0.49420000000000003
1913-11-01,1913.0,11.0,0.0,61.5,39.6,24.9,-4.5,-0.2,10.02,15.6,-27.619999999999997,-16.1,4.62,0.8,0.505,-0.127,0.419,-0.938,-1.249,-0.53,-0.04,0.88,0.8,0.128
1913-12-01,1913.0,12.0,0.0,1.5,84.6,0.0,-8.940000000000001,-1.5,2.34,12.2,-26.22,-18.9,1.23,0.419,0.04,0.356,0.292,0.794,-0.892,-0.37,0.05,0.95,0.85,0.15919999999999998
1914-01-01,1914.0,1.0,0.0,64.8,32.3,23.6,-8.4735714286,-8.7,6.959999999999999,13.3,-31.079999999999995,-32.2,0.58,0.189,-0.215,0.627,0.194,-0.40199999999999997,-0.737,-0.33,-0.12,0.81,0.7,-0.6532
1914-02-01,1914.0,2.0,0.0,6.9,79.8,29.7,-9.34,-8.7,4.6,12.8,-36.67999999999999,-33.9,2.45,0.268,-0.027,0.104,0.104,-0.13800000000000007,0.185,-0.44,0.44,0.67,0.8,-0.45339999999999997
1914-03-01,1914.0,3.0,30.14,23.6,16.5,19.8,-10.636774194000001,-0.6,4.34,19.4,-31.940000000000005,-27.8,1.72,0.667,0.294,0.27,0.415,-0.002000000000000046,0.88,-0.63,0.16,0.29,0.32,0.36419999999999997
1914-04-01,1914.0,4.0,46.154,48.3,46.5,15.5,1.4000000000000001,6.0,16.16,22.2,-15.719999999999999,-8.9,2.08,0.771,0.948,0.803,0.882,-0.023999999999999976,-2.27,-0.58,0.41,0.42,0.69,0.35939999999999994
1914-05-01,1914.0,5.0,124.74,37.1,20.3,13.2,6.015483871,10.5,22.419999999999998,27.8,-7.76,-5.6,2.19,0.183,0.708,-0.262,0.232,-0.15000000000000005,-1.213,-0.55,0.11,-0.24,0.01,0.271
1914-06-01,1914.0,6.0,298.575,46.0,73.4,67.1,10.040000000000001,14.3,25.759999999999998,31.7,-3.54,-0.6,0.57,-0.443,-0.57,-1.095,-0.731,-0.43400000000000005,-2.639,-0.67,-0.1,-0.03,0.08,-0.3136
1914-07-01,1914.0,7.0,257.76,28.2,23.1,64.0,13.476129032,19.2,28.860000000000003,34.4,-0.76,5.6,-1.11,-0.842,-0.39,-1.782,-1.032,-0.15399999999999994,-0.974,-0.88,0.06,0.57,0.53,-0.046200000000000005
1914-08-01,1914.0,8.0,127.275,15.0,62.7,55.4,12.30967742,16.6,28.1,35.6,-1.36,2.2,0.97,-0.102,-0.251,-0.669,-0.365,-0.3399999999999999,-1.84,-0.85,0.33,0.98,0.92,-0.5594000000000001
1914-09-01,1914.0,9.0,81.895,65.0,26.4,28.2,8.560666666,11.9,24.619999999999997,27.8,-4.34,-1.1,0.43,-0.511,-0.355,-0.935,-0.631,-0.476,-1.474,-0.53,0.13,0.96,0.68,0.007599999999999996
1914-10-01,1914.0,10.0,0.0,43.2,40.4,46.2,5.040666666599999,7.1,21.080000000000002,24.4,-8.319999999999999,-5.6,-1.1,-0.564,-0.137,-0.887,-0.554,0.08199999999999999,-0.729,-0.24,0.05,0.51,0.26,-0.093
1914-11-01,1914.0,11.0,0.0,66.3,63.0,69.9,1.02,0.0,16.380000000000003,14.4,-19.86,-23.3,-1.41,0.25,0.122,-0.764,-0.115,0.254,-0.47,-0.25,0.04,0.48,0.3,-0.6064
1914-12-01,1914.0,12.0,0.0,7.6,87.4,19.8,-9.56,-10.6,4.18,3.3,-32.9,-23.3,2.23,0.427,0.091,0.143,0.26,-0.7540000000000001,0.169,-0.29,0.23,0.75,0.68,-0.43979999999999997
1915-01-01,1915.0,1.0,0.0,27.2,78.0,10.7,-11.820000000000002,-6.8,3.2,8.3,-36.38,-31.1,0.08,0.709,-0.397,0.865,0.433,-0.42400000000000004,-2.711,-0.24,0.35,0.8,0.88,-0.5064
1915-02-01,1915.0,2.0,0.0,19.6,71.9,5.8,-9.7,-4.2,3.3,7.8,-28.3,-17.8,1.82,0.014,-0.286,0.724,0.183,0.33799999999999997,-0.594,-0.15,0.52,0.46,0.65,-0.388
1915-03-01,1915.0,3.0,40.5,7.6,68.8,1.8,-3.7,0.6,13.3,18.9,-21.7,-15.6,-1.91,0.92,0.578,1.339,1.012,0.386,-2.495,-0.11,0.42,0.39,0.49,-0.004599999999999982
1915-04-01,1915.0,4.0,52.014,25.4,13.0,11.7,3.5,9.5,17.8,25.6,-11.7,-4.4,2.91,1.444,1.45,1.177,1.439,-0.15999999999999998,-1.49,-0.17,0.31,0.56,0.47,0.3618
1915-05-01,1915.0,5.0,140.85,59.4,19.6,79.5,6.8,9.9,18.9,25.6,-5.6,-0.6,-2.47,2.063,1.661,1.507,1.854,-0.41600000000000004,1.216,-0.04,0.36,0.65,0.52,0.07479999999999999
1915-06-01,1915.0,6.0,318.0,153.7,28.7,102.1,8.3,12.3,23.3,25.6,-2.2,1.7,-2.3,1.722,1.605,1.587,1.757,0.198,2.68,-0.02,0.54,1.42,1.1,-0.020200000000000006
1915-07-01,1915.0,7.0,391.86,100.6,13.2,101.1,10.9,15.0,24.4,27.2,-1.1,3.3,-1.19,1.385,1.602,1.034,1.427,-0.5720000000000001,2.528,-0.03,0.04,0.12,0.07,-0.11580000000000001
1915-08-01,1915.0,8.0,219.35,37.3,71.9,19.8,13.1,18.6,26.1,31.1,0.0,7.8,-1.29,0.189,1.03,0.295,0.552,0.576,1.298,-0.03,-0.01,0.01,0.05,0.07140000000000002
1915-09-01,1915.0,9.0,112.43,68.3,73.4,59.2,5.1,9.3,21.1,27.8,-11.7,-4.4,-1.94,0.108,0.585,-0.419,0.092,-0.06599999999999999,1.344,-0.04,0.01,0.06,0.17,0.0047999999999999935
1915-10-01,1915.0,10.0,0.0,44.2,21.3,55.1,2.2,7.2,13.3,24.4,-10.0,-3.3,-0.99,-1.002,-0.727,-0.683,-0.876,-0.6219999999999999,0.948,-0.06,0.15,-0.03,0.24,-0.335
1915-11-01,1915.0,11.0,0.0,12.7,16.5,11.9,-8.8,-1.6,2.2,12.8,-27.2,-17.8,-2.51,-0.762,-1.066,-0.531,-0.855,0.548,-1.743,-0.04,-0.16,-0.41,-0.15,-0.4378
1915-12-01,1915.0,12.0,0.0,39.1,20.6,7.6,-12.0,-4.5,2.8,10.6,-32.2,-22.8,-0.65,-0.39,-0.641,-0.333,-0.503,-0.296,0.991,-0.08,-0.02,-0.67,-0.23,0.0678
1916-01-01,1916.0,1.0,0.0,72.6,32.0,20.1,-26.9,-22.1,-8.9,2.2,-44.4,-40.6,3.82,-0.93,-1.114,-0.231,-0.836,-1.6119999999999997,0.561,-0.18,-0.12,-0.43,-0.12,-0.3839999999999999
1916-02-01,1916.0,2.0,0.0,22.6,19.8,15.5,-12.7,-6.7,5.6,18.9,-38.3,-28.9,2.03,-0.654,-1.116,-0.292,-0.759,-0.8540000000000001,-0.524,-0.15,-0.26,-0.95,-0.61,0.908
1916-03-01,1916.0,3.0,45.945,40.4,7.4,19.3,-5.8,-1.0,8.3,17.8,-33.3,-25.6,-3.84,-0.339,-0.941,-0.167,-0.518,-0.4640000000000001,-0.835,-0.33,-0.23,-0.84,-0.54,0.2144
1916-04-01,1916.0,4.0,59.546,63.8,18.5,21.6,2.72,6.2,18.419999999999998,24.4,-11.68,-5.6,0.77,-0.014,-0.339,-0.267,-0.233,-0.6839999999999999,0.008,-0.33,-0.11,-0.95,-0.63,-0.119
1916-05-01,1916.0,5.0,106.625,108.0,27.4,78.7,9.540000000000001,8.0,26.8,23.3,-3.78,-5.0,-0.72,-0.34,-0.204,-0.393,-0.337,0.27199999999999996,0.432,-0.26,0.16,-0.8,-0.23,-0.3878
1916-06-01,1916.0,6.0,432.3,67.3,47.0,37.1,9.319999999999999,13.5,26.119999999999997,27.8,-4.66,1.1,-3.03,-1.467,-1.155,-0.448,-1.112,-0.19199999999999995,0.746,-0.27,-0.05,-0.81,-0.36,-0.6392
1916-07-01,1916.0,7.0,412.48,69.6,34.8,37.8,10.040666665999998,17.0,26.619999999999997,30.6,-3.8,3.3,-0.69,-1.177,-1.127,-0.831,-1.15,-0.31399999999999995,2.574,-0.4,-0.74,-1.52,-1.11,-0.26480000000000004
1916-08-01,1916.0,8.0,238.75,83.8,39.1,51.6,9.6,15.9,26.119999999999997,29.4,-3.9599999999999995,3.9,-0.57,-1.576,-1.568,-0.828,-1.44,0.554,1.513,-0.53,-1.16,-1.72,-1.48,-0.1116
1916-09-01,1916.0,9.0,194.25,46.5,74.7,21.3,4.8433333334,11.3,22.72,26.7,-8.819999999999999,-5.0,-2.59,-1.446,-1.476,-0.919,-1.38,0.542,0.417,-0.44,-1.26,-1.49,-1.36,0.004600000000000026
1916-10-01,1916.0,10.0,0.0,31.8,51.1,30.5,3.78,5.3,19.84,23.3,-10.88,-7.8,2.2,-1.343,-1.452,-0.857,-1.311,-0.6980000000000001,0.359,-0.16,-1.02,-1.56,-1.36,0.24419999999999997
1916-11-01,1916.0,11.0,0.0,32.0,65.5,7.1,-9.9,-0.5,4.8,13.3,-32.3,-23.3,-0.58,-1.803,-2.164,-1.285,-1.886,-0.198,0.774,-0.42,-1.28,-1.85,-1.72,0.23079999999999998
1916-12-01,1916.0,12.0,0.0,6.4,71.9,12.7,-13.62,-10.5,1.52,10.0,-35.1,-31.7,-1.8,-1.754,-2.274,-1.044,-1.833,-0.386,1.623,-0.47,-1.01,-1.73,-1.64,-0.24160000000000004
1917-01-01,1917.0,1.0,0.0,18.3,31.8,8.6,-12.828387096,-10.4,3.5400000000000005,8.9,-36.980000000000004,-37.8,-3.08,-1.33,-1.695,-0.961,-1.445,-0.30999999999999994,0.457,-0.52,-0.99,-1.62,-1.56,-2.2757999999999994
1917-02-01,1917.0,2.0,0.0,8.9,77.7,12.7,-15.940000000000001,-11.1,2.04,13.3,-42.54,-38.9,-1.59,-1.029,-1.624,-0.999,-1.317,-0.296,0.984,-0.49,-0.57,-1.6,-1.2,-0.05400000000000005
1917-03-01,1917.0,3.0,25.33,29.2,34.8,4.1,-10.3466518362,-3.6,4.239999999999999,10.0,-30.7,-23.3,-0.21,-1.538,-1.794,-0.96,-1.528,0.23599999999999993,1.862,-0.52,-0.57,-0.98,-0.64,0.3822
1917-04-01,1917.0,4.0,33.692,20.3,33.8,22.9,-0.9926666666000002,2.2,12.4,16.7,-20.68,-12.2,-0.92,-1.226,-1.591,-0.755,-1.285,-0.06399999999999997,2.581,-0.57,-0.55,-0.36,-0.29,0.0011999999999999567
1917-05-01,1917.0,5.0,215.3675,83.3,58.7,44.7,4.800000000000001,9.5,20.8,27.8,-10.14,-5.6,-1.59,-0.727,-1.087,-0.81,-0.931,1.064,2.397,-0.52,-0.69,-0.15,-0.3,-0.005399999999999983
1917-06-01,1917.0,6.0,346.2,74.9,72.9,50.3,8.4,13.4,22.96,31.1,-7.18,0.0,0.81,-0.618,-0.897,-0.531,-0.726,0.576,2.389,-0.43,-0.62,0.15,-0.04,-0.08959999999999999
1917-07-01,1917.0,7.0,279.38,11.7,44.2,11.9,13.1,18.1,31.1,32.8,-4.4,1.1,-0.21,-0.163,-0.51,-0.136,-0.298,-0.12799999999999997,2.827,-0.45,-0.54,0.27,-0.05,0.1678
1917-08-01,1917.0,8.0,162.125,47.5,50.3,38.6,11.0,15.8,27.8,31.1,-5.6,1.1,-0.39,-0.038,-0.219,0.059,-0.074,0.672,3.483,-0.47,-0.41,0.31,0.15,0.29960000000000003
1917-09-01,1917.0,9.0,100.735,27.9,40.78,24.1,8.0,11.5,23.3,30.0,-5.6,-1.1,2.47,-0.662,-0.697,-0.212,-0.559,0.45599999999999996,2.843,-0.68,-0.53,0.09,-0.03,-0.015999999999999993
1917-10-01,1917.0,10.0,0.0,27.7,44.7,35.1,1.0,4.0,18.9,26.7,-13.3,-13.9,0.94,-1.034,-1.155,-0.388,-0.928,-0.10599999999999998,1.512,-0.51,-0.31,-0.07,0.04,-0.367
1917-11-01,1917.0,11.0,0.0,7.9,90.4,0.0,-2.6,6.1,10.0,19.4,-14.4,-9.4,1.98,-0.286,-0.935,-0.569,-0.615,0.952,1.933,-0.39,-0.61,-0.45,-0.43,-0.25880000000000003
1917-12-01,1917.0,12.0,0.0,87.4,20.3,40.1,-14.7,-14.9,4.4,12.8,-40.6,-33.3,-2.8,-0.076,-0.584,-0.198,-0.272,-1.324,2.397,-0.3,-0.61,-1.03,-0.72,-0.23020000000000002
1918-01-01,1918.0,1.0,0.0,22.9,46.0,7.6,-14.2,-10.6,6.1,12.2,-44.4,-31.1,-0.48,0.521,0.153,-0.017,0.247,-1.19,1.459,-0.27,-0.71,-1.04,-0.84,0.9146000000000001
1918-02-01,1918.0,2.0,0.0,49.8,9.7,15.2,-15.0,-8.4,4.4,12.8,-43.3,-33.3,3.87,-0.292,-0.208,-0.298,-0.269,-1.2420000000000002,1.583,-0.34,-0.61,-0.95,-0.82,-0.28700000000000003
1918-03-01,1918.0,3.0,30.135,37.8,47.0,11.2,-6.4,-2.9,9.4,18.9,-38.3,-28.9,0.37,-0.489,-0.725,-0.266,-0.516,-0.49800000000000005,-0.389,-0.5,-0.61,-0.84,-0.96,0.572
1918-04-01,1918.0,4.0,51.674,6.1,29.0,7.4,3.08,7.7,19.0,24.4,-9.780000000000001,-6.7,-1.91,-0.31,-0.606,-0.69,-0.575,0.43600000000000005,2.074,-0.51,-0.55,-0.39,-0.56,0.5481999999999999
1918-05-01,1918.0,5.0,97.4,74.4,9.7,34.0,3.4,8.9,20.28,25.6,-11.14,-5.0,0.23,-0.437,-0.761,-0.326,-0.534,-0.4039999999999999,1.088,-0.48,-0.44,0.14,-0.17,0.2292
1918-06-01,1918.0,6.0,324.775,23.9,117.9,6.6,5.1,15.6,19.479999999999997,32.2,-7.3,-0.6,1.31,-0.139,-0.404,0.26,-0.085,0.588,-0.783,-0.58,-0.13,0.8,0.37,0.11400000000000002
1918-07-01,1918.0,7.0,192.8,39.6,43.7,34.3,9.6,17.6,26.140000000000004,34.4,-5.32,0.0,-1.97,0.358,0.066,0.711,0.421,-0.08800000000000001,-1.379,-0.69,-0.34,0.57,-0.07,-0.11500000000000003
1918-08-01,1918.0,8.0,141.7,80.8,15.5,64.5,8.6137931034,16.3,25.880000000000003,33.9,-5.1,1.1,1.76,0.541,0.292,0.705,0.551,0.10399999999999998,-0.642,-0.78,-0.11,0.6,0.12,0.12080000000000002
1918-09-01,1918.0,9.0,100.11,35.6,5.1,24.6,6.739999999999999,13.8,22.580000000000002,28.9,-5.7,-1.1,-0.17,0.212,0.643,1.17,0.723,-0.414,-0.852,-0.72,0.12,0.72,0.41,0.48040000000000005
1918-10-01,1918.0,10.0,0.0,26.7,76.5,2.8,-0.15999999999999998,8.7,13.48,23.3,-14.02,-8.9,0.56,0.759,1.407,1.642,1.301,0.502,-0.621,-0.58,0.36,1.11,0.93,0.5624000000000001
1918-11-01,1918.0,11.0,0.0,18.5,35.3,2.5,-3.0664516130000004,1.7,12.180000000000001,20.6,-19.54,-13.9,0.26,0.803,1.223,1.498,1.207,0.326,0.021,-0.34,0.44,1.41,1.23,0.223
1918-12-01,1918.0,12.0,0.0,70.4,50.8,20.8,-12.0,-4.4,4.4,11.1,-33.3,-20.0,2.32,0.977,0.364,1.133,0.863,-0.778,-1.004,-0.15,0.49,1.4,1.3,0.2965999999999999
1919-01-01,1919.0,1.0,0.0,52.6,34.8,8.6,-11.6,-0.6,4.4,12.8,-29.4,-14.4,-0.01,1.056,0.354,1.474,1.006,-0.01399999999999998,-1.621,-0.19,0.73,1.48,1.6,0.44060000000000005
1919-02-01,1919.0,2.0,0.0,21.6,23.9,28.4,-15.5,-9.5,4.4,12.2,-38.9,-30.6,-0.49,0.615,-0.009,0.734,0.455,-0.634,-1.194,-0.11,0.67,1.02,1.24,0.1598
1919-03-01,1919.0,3.0,25.805,46.7,40.44,14.0,-9.4,-7.7,5.779999999999999,14.4,-38.82000000000001,-36.1,-0.25,-0.021,-0.375,0.294,-0.058,-0.21800000000000003,-1.565,-0.11,0.7,0.59,0.9,-0.07199999999999998
1919-04-01,1919.0,4.0,40.446,19.3,23.6,12.7,1.9090322580000003,7.3,18.2,26.1,-10.66,-6.1,1.72,0.122,-0.395,0.229,-0.057,0.612,-0.372,-0.28,0.57,0.5,0.69,-0.020199999999999985
1919-05-01,1919.0,5.0,143.3775,33.5,33.3,24.1,5.4,11.3,23.9,31.1,-10.6,-6.7,1.35,0.058,-0.834,0.053,-0.267,0.336,-0.955,-0.4,0.54,0.65,0.63,0.10119999999999998
1919-06-01,1919.0,6.0,209.475,25.9,42.9,7.4,9.2,15.4,31.1,34.4,-10.0,-2.8,1.86,-0.38,-1.216,-0.139,-0.631,-0.142,-1.463,-0.54,0.28,0.68,0.61,-0.21880000000000002
1919-07-01,1919.0,7.0,161.84,33.3,21.8,41.7,12.1,18.0,32.2,36.1,-5.6,5.0,-1.33,-0.904,-1.286,-0.25,-0.908,0.36199999999999993,-0.87,-0.73,0.01,0.48,0.4,0.30460000000000004
1919-08-01,1919.0,8.0,156.3,57.2,27.7,96.5,12.0,17.6,27.8,33.3,-3.9,5.0,4.03,-0.427,-0.448,0.106,-0.291,0.496,-0.9,-0.49,0.2,0.59,0.62,-0.197
1919-09-01,1919.0,9.0,82.745,15.7,47.0,40.1,6.7,11.4,21.7,26.1,-17.2,-5.6,-1.27,0.528,0.115,0.35,0.332,0.782,-0.592,-0.31,0.05,0.53,0.5,0.23900000000000002
1919-10-01,1919.0,10.0,0.0,16.3,13.5,15.7,-3.6,0.5,16.7,23.3,-24.4,-21.7,-2.24,0.252,-0.112,0.592,0.225,-0.5239999999999999,-1.255,-0.19,-0.26,0.1,0.13,-0.8486
1919-11-01,1919.0,11.0,0.0,30.2,60.5,19.8,-9.6,-6.8,5.0,16.1,-36.7,-25.0,-2.07,-0.009,-0.569,0.228,-0.161,-0.292,-1.229,-0.31,-0.65,-0.45,-0.37,0.6130000000000001
1919-12-01,1919.0,12.0,0.0,21.1,206.0,1.0,-14.1,-7.4,3.3,13.3,-46.7,-35.6,2.86,0.338,-0.448,0.432,0.069,-1.328,-1.116,-0.37,0.03,0.19,0.34,1.7664000000000002
1920-01-01,1920.0,1.0,0.0,82.3,62.2,29.7,-14.3,-10.4,3.3,8.9,-47.2,-36.7,2.84,0.193,-1.089,0.208,-0.247,-1.2439999999999998,0.176,-0.45,0.01,0.72,0.64,-0.2968
1920-02-01,1920.0,2.0,0.0,27.7,104.9,25.1,-10.4,-3.3,3.9,9.4,-32.2,-21.7,1.39,0.205,-0.685,-0.364,-0.295,0.06599999999999993,-0.292,-0.44,0.12,0.63,0.6,0.6880000000000001
1920-03-01,1920.0,3.0,23.645,37.1,83.8,10.2,-7.8,-4.3,8.9,13.3,-36.1,-30.0,3.08,0.375,-0.571,-1.232,-0.485,-0.322,-0.626,-0.42,0.14,0.5,0.53,0.433
1920-04-01,1920.0,4.0,39.376,41.4,39.6,54.4,-2.8,-1.7,11.1,13.9,-30.0,-22.2,0.09,-0.552,-0.815,-1.122,-0.871,-0.244,-0.098,-0.44,-0.16,0.06,-0.16,-0.07060000000000004
1920-05-01,1920.0,5.0,89.62,31.8,87.4,23.1,3.6,8.4,18.3,24.4,-8.9,-8.3,0.76,-0.532,-0.538,-0.311,-0.51,-0.094,-0.398,-0.5,-0.04,0.02,-0.21,0.34639999999999993
1920-06-01,1920.0,6.0,198.905,31.8,49.8,34.0,7.0,13.5,22.2,30.0,-6.1,-1.1,-1.62,-0.664,-0.726,-0.474,-0.67,-0.48600000000000004,0.399,-0.62,0.14,0.21,0.29,0.3942
1920-07-01,1920.0,7.0,376.76,47.2,28.2,125.5,13.1,18.8,28.9,33.3,-3.3,6.1,1.87,-1.031,-0.877,0.084,-0.652,-0.46799999999999997,0.922,-0.76,0.1,-0.35,0.15,0.18219999999999997
1920-08-01,1920.0,8.0,153.475,6.9,39.6,2.3,11.2,17.1,32.2,33.3,-7.2,-0.6,-1.22,-1.092,-1.296,-0.947,-1.164,-0.344,0.442,-0.76,0.05,-0.02,0.13,-0.1296
1920-09-01,1920.0,9.0,86.455,44.7,29.2,8.4,6.2,11.5,25.6,30.0,-6.1,-2.8,0.41,-1.145,-1.388,-1.122,-1.277,0.33799999999999997,0.468,-0.52,0.03,0.07,0.27,-0.0512
1920-10-01,1920.0,10.0,0.0,22.9,66.0,37.8,0.8,5.8,17.8,28.9,-20.0,-9.4,-1.15,-1.217,-1.154,-1.27,-1.26,0.506,-0.687,-0.4,0.42,-0.07,0.48,-0.3942
1920-11-01,1920.0,11.0,0.0,5.6,20.3,2.5,-6.1,-1.3,8.3,13.3,-26.7,-20.6,1.48,-0.605,-0.476,-0.708,-0.633,0.158,-0.194,-0.43,-0.25,-0.15,-0.08,-0.19959999999999994
1920-12-01,1920.0,12.0,0.0,26.2,1.3,14.0,-10.4,-7.4,2.8,10.0,-34.4,-30.6,-0.46,-0.319,-0.638,-0.609,-0.551,-0.508,0.991,-0.42,-0.53,0.11,-0.01,-0.2888
1921-01-01,1921.0,1.0,0.0,70.4,57.2,22.9,-11.5,-8.0,0.6,8.3,-31.7,-26.7,3.2,-0.49,-1.021,-0.318,-0.669,-1.2380000000000002,1.091,-0.37,-0.19,0.28,0.43,0.8016
